,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
480018,677,2020-06-10 13:31:44.6880,2020-06-10 13:43:02.3010,3314,W 95 St & Broadway,40.7937704,-73.971888,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,37078,Subscriber,1971,2
481767,969,2020-06-10 14:01:25.2310,2020-06-10 14:17:34.8960,3508,St Nicholas Ave & Manhattan Ave,40.809725,-73.953149,3307,West End Ave & W 94 St,40.7941654,-73.974124,37078,Subscriber,1971,2
483247,760,2020-06-10 14:26:16.9260,2020-06-10 14:38:57.3110,3307,West End Ave & W 94 St,40.7941654,-73.974124,3697,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,37078,Customer,1987,2
484282,1119,2020-06-10 14:43:32.2520,2020-06-10 15:02:11.6650,3697,W 64 St & Thelonious Monk Circle,40.77515953434235,-73.98918695747852,507,E 25 St & 2 Ave,40.73912601,-73.97973776,37078,Subscriber,1965,1
485551,1090,2020-06-10 15:03:32.1590,2020-06-10 15:21:42.9620,507,E 25 St & 2 Ave,40.73912601,-73.97973776,2009,Catherine St & Monroe St,40.71117444,-73.99682619,37078,Subscriber,1990,2
489193,2418,2020-06-10 15:55:09.0200,2020-06-10 16:35:27.6200,2009,Catherine St & Monroe St,40.71117444,-73.99682619,291,Madison St & Montgomery St,40.713126,-73.984844,37078,Subscriber,1958,1
492443,2175,2020-06-10 16:35:59.9350,2020-06-10 17:12:15.8600,291,Madison St & Montgomery St,40.713126,-73.984844,3733,Avenue C & E 18 St,40.730563,-73.973984,37078,Subscriber,1958,1
496016,925,2020-06-10 17:14:22.7950,2020-06-10 17:29:48.7020,3733,Avenue C & E 18 St,40.730563,-73.973984,501,FDR Drive & E 35 St,40.744219,-73.97121214,37078,Subscriber,1958,1
497827,299,2020-06-10 17:31:35.5040,2020-06-10 17:36:35.3550,501,FDR Drive & E 35 St,40.744219,-73.97121214,536,1 Ave & E 30 St,40.74144387,-73.97536082,37078,Subscriber,1958,1
511643,1841,2020-06-10 19:32:07.6220,2020-06-10 20:02:48.6870,536,1 Ave & E 30 St,40.74144387,-73.97536082,3068,Humboldt St & Varet St,40.7031724,-73.940636,37078,Subscriber,1991,2
568241,753,2020-06-12 05:12:21.6170,2020-06-12 05:24:55.3580,3068,Humboldt St & Varet St,40.7031724,-73.940636,3867,Somers St & Broadway,40.67945,-73.90474,37078,Subscriber,1989,1
584740,2190,2020-06-12 12:33:58.1140,2020-06-12 13:10:28.8910,3867,Somers St & Broadway,40.67945,-73.90474,497,E 17 St & Broadway,40.73704984,-73.99009296,37078,Subscriber,1997,1
587104,725,2020-06-12 13:11:29.9450,2020-06-12 13:23:35.1560,497,E 17 St & Broadway,40.73704984,-73.99009296,3443,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,37078,Subscriber,1952,1
588392,1766,2020-06-12 13:31:16.3720,2020-06-12 14:00:43.0040,3443,W 52 St & 6 Ave,40.76132983124814,-73.97982001304626,478,11 Ave & W 41 St,40.76030096,-73.99884222,37078,Customer,1987,1
590575,342,2020-06-12 14:01:49.4550,2020-06-12 14:07:31.9030,478,11 Ave & W 41 St,40.76030096,-73.99884222,3785,W 42 St & 6 Ave,40.75492,-73.98455,37078,Subscriber,1971,1
592655,711,2020-06-12 14:30:24.1230,2020-06-12 14:42:15.2280,3785,W 42 St & 6 Ave,40.75492,-73.98455,3159,W 67 St & Broadway,40.77492513,-73.98266566,37078,Customer,1987,1
594057,184,2020-06-12 14:47:34.9350,2020-06-12 14:50:38.9890,3159,W 67 St & Broadway,40.77492513,-73.98266566,3993,W 59 St & West End Ave,40.771771,-73.990625,37078,Subscriber,1965,1
594926,631,2020-06-12 14:58:26.0850,2020-06-12 15:08:57.5850,3993,W 59 St & West End Ave,40.771771,-73.990625,3307,West End Ave & W 94 St,40.7941654,-73.974124,37078,Customer,1969,0
596558,2482,2020-06-12 15:17:27.7070,2020-06-12 15:58:49.8100,3307,West End Ave & W 94 St,40.7941654,-73.974124,347,Greenwich St & W Houston St,40.728846,-74.008591,37078,Subscriber,1991,2
600895,294,2020-06-12 16:05:50.6250,2020-06-12 16:10:44.9400,347,Greenwich St & W Houston St,40.728846,-74.008591,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,37078,Subscriber,1991,1
602029,305,2020-06-12 16:16:59.7710,2020-06-12 16:22:05.6590,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,127,Barrow St & Hudson St,40.73172428,-74.00674436,37078,Subscriber,1972,1
605764,2016,2020-06-12 16:53:24.5940,2020-06-12 17:27:00.8070,127,Barrow St & Hudson St,40.73172428,-74.00674436,3323,W 106 St & Central Park West,40.7981856,-73.9605909006,37078,Subscriber,1991,2
642567,22303,2020-06-13 06:34:48.6400,2020-06-13 12:46:32.6040,3323,W 106 St & Central Park West,40.7981856,-73.9605909006,517,Pershing Square South,40.751581,-73.97791,37078,Customer,1969,0
718869,431,2020-06-13 20:07:36.6040,2020-06-13 20:14:47.6870,517,Pershing Square South,40.751581,-73.97791,477,W 41 St & 8 Ave,40.75640548,-73.9900262,37078,Customer,1969,0
721206,1323,2020-06-13 20:32:41.7670,2020-06-13 20:54:44.8070,477,W 41 St & 8 Ave,40.75640548,-73.9900262,3738,Delancey St & Eldridge St,40.719383,-73.991479,37078,Subscriber,1984,2
723328,2368,2020-06-13 21:00:12.0440,2020-06-13 21:39:40.1600,3738,Delancey St & Eldridge St,40.719383,-73.991479,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,37078,Customer,1995,1
726961,462,2020-06-13 22:25:31.7530,2020-06-13 22:33:14.1260,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,37078,Customer,1998,2
727281,6772,2020-06-13 22:36:14.7930,2020-06-14 00:29:07.4650,3604,Rogers Ave & Sterling St,40.6630619,-73.9538746,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,37078,Customer,1998,2
745330,1009,2020-06-14 12:19:33.3040,2020-06-14 12:36:22.4200,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,3435,Grand St & Elizabeth St,40.718822,-73.99596,37078,Subscriber,1985,1
747699,1512,2020-06-14 12:40:50.8780,2020-06-14 13:06:03.3730,3435,Grand St & Elizabeth St,40.718822,-73.99596,3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,37078,Subscriber,1991,1
753251,13775,2020-06-14 13:29:02.7240,2020-06-14 17:18:37.7720,3415,Prospect Pl & 6 Ave,40.6793307,-73.97519523,3077,Stagg St & Union Ave,40.70877084,-73.95095259,37078,Customer,1969,0
810020,1366,2020-06-15 05:33:52.5300,2020-06-15 05:56:38.7110,3077,Stagg St & Union Ave,40.70877084,-73.95095259,3731,W 47 St & 6 Ave,40.758397,-73.98255,37078,Subscriber,1993,1
810558,277,2020-06-15 06:20:08.8360,2020-06-15 06:24:46.7780,3731,W 47 St & 6 Ave,40.758397,-73.98255,3809,W 55 St & 6 Ave,40.763189,-73.978434,37078,Subscriber,1982,1
810886,1193,2020-06-15 06:37:03.8630,2020-06-15 06:56:57.5950,3809,W 55 St & 6 Ave,40.763189,-73.978434,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,37078,Subscriber,1959,1
815147,895,2020-06-15 08:40:15.9400,2020-06-15 08:55:11.8440,3539,W 116 St & Amsterdam Ave,40.8067581,-73.9607082,3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,37078,Subscriber,1990,2
816057,751,2020-06-15 09:01:50.0590,2020-06-15 09:14:21.2580,3992,W 169 St & Fort Washington Ave,40.8428422,-73.9421253,3629,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,37078,Subscriber,1991,1
816874,1355,2020-06-15 09:22:33.7110,2020-06-15 09:45:09.2750,3629,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,523,W 38 St & 8 Ave,40.75466591,-73.99138152,37078,Customer,1989,1
818058,368,2020-06-15 09:52:25.2750,2020-06-15 09:58:34.1970,523,W 38 St & 8 Ave,40.75466591,-73.99138152,447,8 Ave & W 52 St,40.76370739,-73.9851615,37078,Subscriber,1976,2
818952,2412,2020-06-15 10:18:10.7410,2020-06-15 10:58:23.4740,447,8 Ave & W 52 St,40.76370739,-73.9851615,72,W 52 St & 11 Ave,40.76727216,-73.99392888,37078,Subscriber,1973,1
821793,2066,2020-06-15 11:34:24.0890,2020-06-15 12:08:50.4460,72,W 52 St & 11 Ave,40.76727216,-73.99392888,530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,37078,Subscriber,1994,1
823380,1856,2020-06-15 12:10:12.2530,2020-06-15 12:41:08.5030,530,11 Ave & W 59 St,40.77149671054441,-73.99046033620834,427,Bus Slip & State St,40.701907,-74.013942,37078,Subscriber,1991,1
839906,2534,2020-06-15 16:38:18.3180,2020-06-15 17:20:32.6300,427,Bus Slip & State St,40.701907,-74.013942,448,W 37 St & 10 Ave,40.75660359,-73.9979009,37078,Subscriber,1990,1
843910,1448,2020-06-15 17:21:31.5730,2020-06-15 17:45:40.4660,448,W 37 St & 10 Ave,40.75660359,-73.9979009,448,W 37 St & 10 Ave,40.75660359,-73.9979009,37078,Subscriber,1990,1
847357,113,2020-06-15 17:55:10.3650,2020-06-15 17:57:03.7250,448,W 37 St & 10 Ave,40.75660359,-73.9979009,495,W 47 St & 10 Ave,40.76269882,-73.99301222,37078,Subscriber,1995,1
848568,1527,2020-06-15 18:07:12.4620,2020-06-15 18:32:40.2770,495,W 47 St & 10 Ave,40.76269882,-73.99301222,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,37078,Subscriber,1954,1
851758,540,2020-06-15 18:36:59.1590,2020-06-15 18:45:59.9890,3169,Riverside Dr & W 82 St,40.78720869,-73.98128127,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,37078,Subscriber,1990,2
852790,2294,2020-06-15 18:47:12.3140,2020-06-15 19:25:26.3630,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,37078,Subscriber,1981,1
856947,706,2020-06-15 19:30:40.1260,2020-06-15 19:42:26.2730,3170,W 84 St & Columbus Ave,40.78499979,-73.97283406,3689,W 104 St & Amsterdam Ave,40.799041392882984,-73.96649479866028,37078,Subscriber,1983,1
857944,2294,2020-06-15 19:43:27.7920,2020-06-15 20:21:41.9950,3689,W 104 St & Amsterdam Ave,40.799041392882984,-73.96649479866028,3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,37078,Subscriber,1983,1
888633,573,2020-06-16 13:49:38.1110,2020-06-16 13:59:11.2280,3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,37078,Subscriber,1990,1
889574,1855,2020-06-16 14:04:26.0000,2020-06-16 14:35:21.5400,3542,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,37078,Subscriber,1991,2
891624,1882,2020-06-16 14:35:36.5300,2020-06-16 15:06:58.7340,3641,Broadway & W 25 St,40.74286877312112,-73.98918628692627,3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798981,37078,Subscriber,1991,2
894103,1706,2020-06-16 15:10:31.1200,2020-06-16 15:38:57.5650,3472,W 15 St & 10 Ave,40.742753828659026,-74.00747358798981,3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,37078,Subscriber,1969,0
897870,2009,2020-06-16 15:59:19.8880,2020-06-16 16:32:49.6020,3357,W 106 St & Amsterdam Ave,40.8008363,-73.9664492472,426,West St & Chambers St,40.71754834,-74.01322069,37078,Customer,2002,1
900813,566,2020-06-16 16:33:34.7740,2020-06-16 16:43:01.0150,426,West St & Chambers St,40.71754834,-74.01322069,308,St James Pl & Oliver St,40.71307916,-73.99851193,37078,Customer,2002,1
904275,1225,2020-06-16 17:09:05.5340,2020-06-16 17:29:31.1030,308,St James Pl & Oliver St,40.71307916,-73.99851193,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,37078,Subscriber,1999,1
907896,9334,2020-06-16 17:40:26.1000,2020-06-16 20:16:00.7460,481,S 3 St & Bedford Ave,40.71260486,-73.96264403,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,37078,Customer,1990,2
932344,254,2020-06-17 01:06:07.7230,2020-06-17 01:10:22.0700,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,3241,Monroe St & Tompkins Ave,40.686203,-73.944694,37078,Subscriber,1984,1
934856,480,2020-06-17 07:07:25.9680,2020-06-17 07:15:26.3630,3241,Monroe St & Tompkins Ave,40.686203,-73.944694,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,37078,Subscriber,1973,1
935564,682,2020-06-17 07:29:30.7500,2020-06-17 07:40:52.9300,258,DeKalb Ave & Vanderbilt Ave,40.68940747,-73.96885458,3297,6 St & 7 Ave,40.6686627,-73.97988067,37078,Subscriber,1985,2
936520,708,2020-06-17 07:52:38.4170,2020-06-17 08:04:27.1210,3297,6 St & 7 Ave,40.6686627,-73.97988067,3571,Bedford Ave & Bergen St,40.676368,-73.952918,37078,Customer,1993,1
937120,1358,2020-06-17 08:06:00.0830,2020-06-17 08:28:38.9020,3571,Bedford Ave & Bergen St,40.676368,-73.952918,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,37078,Customer,1969,0
938796,1068,2020-06-17 08:40:08.9700,2020-06-17 08:57:57.1890,3656,E 2 St & Avenue A,40.72307749068673,-73.98583620786667,489,10 Ave & W 28 St,40.75066386,-74.00176802,37078,Subscriber,1993,2
942659,556,2020-06-17 10:02:21.3010,2020-06-17 10:11:37.4780,489,10 Ave & W 28 St,40.75066386,-74.00176802,450,W 49 St & 8 Ave,40.76227205,-73.98788205,37078,Subscriber,1986,2
