borocode,borough,tree species,steward,tree count,count_health_good,count_health_fair,count_health_poor,good,fair,poor,spccode
1,Manhattan,red maple,None,150,91,37,22,60.67,24.67,14.67,0
1,Manhattan,red maple,1or2,158,104,45,9,65.82,28.48,5.7,0
1,Manhattan,red maple,3or4,46,27,10,9,58.7,21.74,19.57,0
1,Manhattan,red maple,4orMore,2,2,0,0,100.0,0.0,0.0,0
2,Bronx,red maple,3or4,31,30,1,0,96.77,3.23,0.0,0
2,Bronx,red maple,1or2,358,282,63,13,78.77,17.6,3.63,0
2,Bronx,red maple,4orMore,1,1,0,0,100.0,0.0,0.0,0
2,Bronx,red maple,None,1808,1413,296,99,78.15,16.37,5.48,0
3,Brooklyn,red maple,4orMore,1,1,0,0,100.0,0.0,0.0,0
3,Brooklyn,red maple,3or4,77,60,13,4,77.92,16.88,5.19,0
3,Brooklyn,red maple,1or2,672,501,130,41,74.55,19.35,6.1,0
3,Brooklyn,red maple,None,1634,1207,307,120,73.87,18.79,7.34,0
4,Queens,red maple,4orMore,5,3,2,0,60.0,40.0,0.0,0
4,Queens,red maple,None,4137,3082,810,245,74.5,19.58,5.92,0
4,Queens,red maple,1or2,741,559,137,45,75.44,18.49,6.07,0
4,Queens,red maple,3or4,52,43,4,5,82.69,7.69,9.62,0
5,Staten Island,red maple,3or4,63,56,7,0,88.89,11.11,0.0,0
5,Staten Island,red maple,4orMore,6,3,3,0,50.0,50.0,0.0,0
5,Staten Island,red maple,1or2,1099,880,178,41,80.07,16.2,3.73,0
5,Staten Island,red maple,None,6205,5094,868,243,82.1,13.99,3.92,0
1,Manhattan,Oklahoma redbud,None,4,2,2,0,50.0,50.0,0.0,1
1,Manhattan,Oklahoma redbud,1or2,4,3,1,0,75.0,25.0,0.0,1
1,Manhattan,Oklahoma redbud,4orMore,1,0,1,0,0.0,100.0,0.0,1
2,Bronx,Oklahoma redbud,None,38,27,9,2,71.05,23.68,5.26,1
2,Bronx,Oklahoma redbud,1or2,9,5,3,1,55.56,33.33,11.11,1
3,Brooklyn,Oklahoma redbud,None,35,30,5,0,85.71,14.29,0.0,1
3,Brooklyn,Oklahoma redbud,1or2,15,13,1,1,86.67,6.67,6.67,1
3,Brooklyn,Oklahoma redbud,3or4,1,1,0,0,100.0,0.0,0.0,1
4,Queens,Oklahoma redbud,None,51,43,8,0,84.31,15.69,0.0,1
4,Queens,Oklahoma redbud,3or4,3,1,1,1,33.33,33.33,33.33,1
4,Queens,Oklahoma redbud,1or2,27,20,2,5,74.07,7.41,18.52,1
4,Queens,Oklahoma redbud,4orMore,1,1,0,0,100.0,0.0,0.0,1
5,Staten Island,Oklahoma redbud,1or2,4,4,0,0,100.0,0.0,0.0,1
5,Staten Island,Oklahoma redbud,None,26,23,2,1,88.46,7.69,3.85,1
1,Manhattan,maple,1or2,16,9,5,2,56.25,31.25,12.5,2
1,Manhattan,maple,None,19,6,4,9,31.58,21.05,47.37,2
1,Manhattan,maple,3or4,2,1,0,1,50.0,0.0,50.0,2
2,Bronx,maple,1or2,141,96,31,14,68.09,21.99,9.93,2
2,Bronx,maple,None,846,549,209,88,64.89,24.7,10.4,2
2,Bronx,maple,3or4,8,5,3,0,62.5,37.5,0.0,2
3,Brooklyn,maple,4orMore,2,2,0,0,100.0,0.0,0.0,2
3,Brooklyn,maple,1or2,95,74,19,2,77.89,20.0,2.11,2
3,Brooklyn,maple,None,339,240,74,25,70.8,21.83,7.37,2
3,Brooklyn,maple,3or4,9,6,2,1,66.67,22.22,11.11,2
4,Queens,maple,4orMore,1,1,0,0,100.0,0.0,0.0,2
4,Queens,maple,None,2681,1800,699,182,67.14,26.07,6.79,2
4,Queens,maple,3or4,15,10,3,2,66.67,20.0,13.33,2
4,Queens,maple,1or2,295,194,68,33,65.76,23.05,11.19,2
5,Staten Island,maple,1or2,291,203,49,39,69.76,16.84,13.4,2
5,Staten Island,maple,4orMore,3,2,0,1,66.67,0.0,33.33,2
5,Staten Island,maple,3or4,15,11,2,2,73.33,13.33,13.33,2
5,Staten Island,maple,None,2302,1499,565,238,65.12,24.54,10.34,2
1,Manhattan,pagoda dogwood,None,5,3,2,0,60.0,40.0,0.0,3
1,Manhattan,pagoda dogwood,1or2,8,3,3,2,37.5,37.5,25.0,3
1,Manhattan,pagoda dogwood,3or4,5,1,3,1,20.0,60.0,20.0,3
2,Bronx,pagoda dogwood,None,10,6,4,0,60.0,40.0,0.0,3
2,Bronx,pagoda dogwood,3or4,1,1,0,0,100.0,0.0,0.0,3
2,Bronx,pagoda dogwood,1or2,7,6,1,0,85.71,14.29,0.0,3
3,Brooklyn,pagoda dogwood,1or2,29,24,3,2,82.76,10.34,6.9,3
3,Brooklyn,pagoda dogwood,3or4,4,3,0,1,75.0,0.0,25.0,3
3,Brooklyn,pagoda dogwood,None,47,38,6,3,80.85,12.77,6.38,3
4,Queens,pagoda dogwood,1or2,21,14,6,1,66.67,28.57,4.76,3
4,Queens,pagoda dogwood,3or4,2,1,1,0,50.0,50.0,0.0,3
4,Queens,pagoda dogwood,None,58,47,9,2,81.03,15.52,3.45,3
5,Staten Island,pagoda dogwood,1or2,18,16,1,1,88.89,5.56,5.56,3
5,Staten Island,pagoda dogwood,None,65,56,7,2,86.15,10.77,3.08,3
1,Manhattan,American linden,None,674,427,168,79,63.35,24.93,11.72,4
1,Manhattan,American linden,1or2,713,456,173,84,63.96,24.26,11.78,4
1,Manhattan,American linden,4orMore,23,20,1,2,86.96,4.35,8.7,4
1,Manhattan,American linden,3or4,173,117,37,19,67.63,21.39,10.98,4
2,Bronx,American linden,4orMore,3,3,0,0,100.0,0.0,0.0,4
2,Bronx,American linden,None,1684,1364,248,72,81.0,14.73,4.28,4
2,Bronx,American linden,1or2,424,344,61,19,81.13,14.39,4.48,4
2,Bronx,American linden,3or4,21,14,5,2,66.67,23.81,9.52,4
3,Brooklyn,American linden,3or4,143,119,17,7,83.22,11.89,4.9,4
3,Brooklyn,American linden,4orMore,19,19,0,0,100.0,0.0,0.0,4
3,Brooklyn,American linden,None,2704,2153,381,170,79.62,14.09,6.29,4
3,Brooklyn,American linden,1or2,1157,940,152,65,81.24,13.14,5.62,4
4,Queens,American linden,1or2,1131,851,220,60,75.24,19.45,5.31,4
4,Queens,American linden,None,3553,3046,382,125,85.73,10.75,3.52,4
4,Queens,American linden,3or4,79,69,5,5,87.34,6.33,6.33,4
4,Queens,American linden,4orMore,6,5,0,1,83.33,0.0,16.67,4
5,Staten Island,American linden,None,823,714,84,25,86.76,10.21,3.04,4
5,Staten Island,American linden,3or4,13,13,0,0,100.0,0.0,0.0,4
5,Staten Island,American linden,1or2,187,170,10,7,90.91,5.35,3.74,4
1,Manhattan,sassafras,1or2,3,3,0,0,100.0,0.0,0.0,5
1,Manhattan,sassafras,4orMore,1,1,0,0,100.0,0.0,0.0,5
1,Manhattan,sassafras,None,11,6,1,4,54.55,9.09,36.36,5
1,Manhattan,sassafras,3or4,2,1,0,1,50.0,0.0,50.0,5
2,Bronx,sassafras,1or2,1,1,0,0,100.0,0.0,0.0,5
2,Bronx,sassafras,None,15,11,4,0,73.33,26.67,0.0,5
3,Brooklyn,sassafras,1or2,15,11,3,1,73.33,20.0,6.67,5
3,Brooklyn,sassafras,3or4,2,2,0,0,100.0,0.0,0.0,5
3,Brooklyn,sassafras,None,24,22,1,1,91.67,4.17,4.17,5
4,Queens,sassafras,None,64,48,12,4,75.0,18.75,6.25,5
4,Queens,sassafras,1or2,9,5,3,1,55.56,33.33,11.11,5
5,Staten Island,sassafras,1or2,1,1,0,0,100.0,0.0,0.0,5
5,Staten Island,sassafras,None,23,16,6,1,69.57,26.09,4.35,5
1,Manhattan,Norway spruce,None,1,0,0,1,0.0,0.0,100.0,6
1,Manhattan,Norway spruce,1or2,2,2,0,0,100.0,0.0,0.0,6
2,Bronx,Norway spruce,3or4,3,0,3,0,0.0,100.0,0.0,6
2,Bronx,Norway spruce,None,19,12,7,0,63.16,36.84,0.0,6
2,Bronx,Norway spruce,1or2,21,12,8,1,57.14,38.1,4.76,6
3,Brooklyn,Norway spruce,1or2,25,18,5,2,72.0,20.0,8.0,6
3,Brooklyn,Norway spruce,None,35,28,4,3,80.0,11.43,8.57,6
3,Brooklyn,Norway spruce,3or4,6,6,0,0,100.0,0.0,0.0,6
3,Brooklyn,Norway spruce,4orMore,1,1,0,0,100.0,0.0,0.0,6
4,Queens,Norway spruce,1or2,53,47,5,1,88.68,9.43,1.89,6
4,Queens,Norway spruce,3or4,3,3,0,0,100.0,0.0,0.0,6
4,Queens,Norway spruce,None,135,100,25,10,74.07,18.52,7.41,6
5,Staten Island,Norway spruce,3or4,1,1,0,0,100.0,0.0,0.0,6
5,Staten Island,Norway spruce,1or2,7,6,1,0,85.71,14.29,0.0,6
5,Staten Island,Norway spruce,None,43,35,6,2,81.4,13.95,4.65,6
1,Manhattan,mulberry,None,29,23,6,0,79.31,20.69,0.0,7
1,Manhattan,mulberry,3or4,3,3,0,0,100.0,0.0,0.0,7
1,Manhattan,mulberry,1or2,36,22,9,5,61.11,25.0,13.89,7
2,Bronx,mulberry,1or2,25,19,6,0,76.0,24.0,0.0,7
2,Bronx,mulberry,None,129,96,24,9,74.42,18.6,6.98,7
2,Bronx,mulberry,3or4,1,0,1,0,0.0,100.0,0.0,7
3,Brooklyn,mulberry,None,163,127,31,5,77.91,19.02,3.07,7
3,Brooklyn,mulberry,3or4,3,3,0,0,100.0,0.0,0.0,7
3,Brooklyn,mulberry,1or2,40,30,5,5,75.0,12.5,12.5,7
4,Queens,mulberry,None,507,387,94,26,76.33,18.54,5.13,7
4,Queens,mulberry,3or4,6,5,1,0,83.33,16.67,0.0,7
4,Queens,mulberry,1or2,68,53,12,3,77.94,17.65,4.41,7
5,Staten Island,mulberry,None,135,100,26,9,74.07,19.26,6.67,7
5,Staten Island,mulberry,1or2,12,9,3,0,75.0,25.0,0.0,7
1,Manhattan,American hophornbeam,3or4,12,7,4,1,58.33,33.33,8.33,8
1,Manhattan,American hophornbeam,1or2,40,32,4,4,80.0,10.0,10.0,8
1,Manhattan,American hophornbeam,None,32,25,4,3,78.12,12.5,9.38,8
2,Bronx,American hophornbeam,3or4,3,3,0,0,100.0,0.0,0.0,8
2,Bronx,American hophornbeam,None,124,98,21,5,79.03,16.94,4.03,8
2,Bronx,American hophornbeam,1or2,58,47,7,4,81.03,12.07,6.9,8
3,Brooklyn,American hophornbeam,4orMore,1,0,1,0,0.0,100.0,0.0,8
3,Brooklyn,American hophornbeam,3or4,11,10,0,1,90.91,0.0,9.09,8
3,Brooklyn,American hophornbeam,None,222,171,41,10,77.03,18.47,4.5,8
3,Brooklyn,American hophornbeam,1or2,132,92,29,11,69.7,21.97,8.33,8
4,Queens,American hophornbeam,1or2,67,60,5,2,89.55,7.46,2.99,8
4,Queens,American hophornbeam,None,217,180,28,9,82.95,12.9,4.15,8
4,Queens,American hophornbeam,3or4,11,10,1,0,90.91,9.09,0.0,8
5,Staten Island,American hophornbeam,3or4,2,2,0,0,100.0,0.0,0.0,8
5,Staten Island,American hophornbeam,4orMore,2,2,0,0,100.0,0.0,0.0,8
5,Staten Island,American hophornbeam,1or2,36,32,3,1,88.89,8.33,2.78,8
5,Staten Island,American hophornbeam,None,111,95,10,6,85.59,9.01,5.41,8
1,Manhattan,eastern redbud,3or4,2,2,0,0,100.0,0.0,0.0,9
1,Manhattan,eastern redbud,4orMore,1,1,0,0,100.0,0.0,0.0,9
1,Manhattan,eastern redbud,None,26,22,4,0,84.62,15.38,0.0,9
